Date,Feedback,Sentiment,App Related,Key Theme,Specific Themes,,,,,
7/14/2024 19:27,tidak ada fitur qris utk kartu kredit,Negative,Yes,Features and Promotion,Missing Features,,,,,
7/14/2024 19:46,transfer gagal mulu,Negative,Yes,Reliability,Failed Transactions,,,,,
7/14/2024 19:59,kalau ada perubahan biometrik harus registrasi ulang mbanking dari awal. Ini bener bener merepotkan. Aplikasi bank lain jika ada perubahan biometrik cukup aktifkan ulang fingerprint tanpa registrasi ulang mbanking,Negative,Yes,UI/UX and Usability,Complex UI/UX,,,,,
7/14/2024 20:31,bentuk aplikasi kurang menarik dan praktis,Negative,Yes,UI/UX and Usability,Application is not user-friendly,,,,,
7/15/2024 5:41,Kenapa transfer dibawah 1000 ditiadakan. Padahal itu salah satu keunggulan Permata dibanding Bank lain,Negative,Yes,Fees and Rates,Limitations on transfer,,,,,
7/15/2024 7:53,"antrian lama bgt saat di bank, harap dipercepat pelayanannya",Negative,No,Services,Long wait time at bank,,,,,
7/15/2024 9:16,w paylorld,Neutral,Yes,Features and Promotion,No actionable theme,,,,,
7/15/2024 10:16,delay nya,Negative,Yes,Ease and Speed,Slow application,,,,,
7/15/2024 13:40,I have had a lot of trouble logging into permata mobile banking. The system message says permata x currently having technical difficulties and that we should try again later. Its frustrating when I need to pay the qris in front of the tenant.,Negative,Yes,Reliability,Login issues,,,,,
7/15/2024 15:45,"ga tau kenapa sekarang aplikasinya lemot banget, padahal jaringan bagus dan stabil. mohon untuk diperbaiki",Negative,Yes,Ease and Speed,Slow application,,,,,
7/15/2024 16:11,pelayanan bagus nyaman PERTAHANKAN,Positive,No,Services,Excellent Customer Service,,,,,
7/15/2024 16:23,"sering error kalau QR tidak bisa langsung nyantol, sering gak konek kalau bca selalu oke",Negative,Yes,Reliability,QR Code Issues,,,,,
7/15/2024 18:17,bagus,Positive,Yes,General,General Positive Feedback,,,,,
7/15/2024 19:16,atm nya sedikit,Negative,No,Services,ATM Hard to Find,,,,,
7/15/2024 19:19,gak pernah d acc pinjaman KTA nya padahal gaji lewat permata. Bayar KTA sebelumnya lancar malah habis lunas sampe sekarang 2 tahun gak pernah di acc pinjamannya,Negative,No,Services,Loan Rejection Issues,,,,,
7/15/2024 20:04,data investasi bond saya tdk akurat data detailnya,Negative,Yes,Features and Promotion,Errors in Account Information,,,,,
7/15/2024 20:31,BURUK SEKALI,Negative,Yes,General,General Negative Feedback,,,,,
7/15/2024 21:07,Email login dan transaksi sangat menggangu,Negative,Yes,Features and Promotion,Notification Issues,,,,,
7/15/2024 21:20,kurang cepat,Negative,Yes,Ease and Speed,Slow application,,,,,
7/15/2024 22:33,1. History transaction bagusan dulu ada selected period defaultnya. Jadi menghemat 1 step kalo hanya ingin melihat transaksi current month 2. History nomor rekening baiknya disertakan nama nya juga jadi akan lebih membantu untuk mengirim ke orang yang sama,Negative,Yes,Features and Promotion,History Transaction Usability,,,,,
7/15/2024 23:36,kartu kredit ditolak terus... apa-apaan neeh,Negative,No,Services,Credit Card Rejection,,,,,
7/16/2024 7:09,bagaimana kita bisa merekomendasikannya kalau setor giro saja bisa titip 2 hari. Kalau lebih dikenakan biaya. Kita diharuskan sering datang ke permata. Sedangkan di Pekanbaru bank permata hanya ada 1 dan jauh dari tempat tinggal kami. Belum lagi macet,Negative,No,Services,Long wait time at bank,,,,,
7/16/2024 7:20,"banyak promo yang ditampilkan, tak pernah di setujui. Seperti dana KTA. Jadi sebenarnya produk yang ditampilkan hanya promo saja",Negative,Yes,Features and Promotion,Promotion Issues,,,,,
7/16/2024 7:26,keamanan sangat kurang,Negative,Yes,Reliability,Security Concerns,,,,,
7/16/2024 8:28,"Pertama mau deposito, mau aktifkan kartu kredit, gak berfungsi semuanya. Permata poin reward untuk isi bbm juga belum ada hasilnya",Negative,Yes,Features and Promotion,Missing Features,,,,,
7/16/2024 9:00,"face recognition sering ga kedetect padahal udah jelas, kalo salah 3 kali langsung auto logout dan loginnya ribet banget. Painful sih",Negative,Yes,UI/UX and Usability,Face Recognition Issues,,,,,
7/16/2024 9:08,mohon setiap ada kendala di bifast di berikan pemberitahuan dahulu. Jadi kita yang mau transfer tidak takut pending,Negative,Yes,Features and Promotion,Notification Issues,,,,,
7/16/2024 9:33,Difficult for top up personal loan,Negative,Yes,Features and Promotion,Loan Issues,,,,,
7/16/2024 10:08,aplikasinya terlalu susah dan bikin bingung. Tidak ada update realtime untuk kartu kredit,Negative,Yes,UI/UX and Usability,Complex UI/UX,,,,,
7/16/2024 10:12,Ada transaksi yang langsung didebet tapi pemberitahuan terlebih dahulu,Negative,Yes,Features and Promotion,Notification Issues,,,,,
7/16/2024 11:03,"terkadang transaksi gagal, namun dana tetap terdebit, sehingga harus mengurus manual untuk pengembalian dana. Jika jaringan internet kurang stabil, performa aplikasi sangat lambat dibanding aplikasi bank lain",Negative,Yes,Reliability,Failed Transactions,,,,,
7/16/2024 11:15,terlalu banyak promo,Neutral,Yes,Features and Promotion,Promotion Issues,,,,,
7/16/2024 11:22,KTA ditolak tanpa penjelasan,Negative,No,Services,Loan Rejection Issues,,,,,
7/16/2024 11:23,cari ATM susah,Negative,No,Services,ATM Hard to Find,,,,,
7/16/2024 11:23,cari ATM susah,Negative,No,Services,ATM Hard to Find,,,,,
7/16/2024 11:23,cari ATM susah,Negative,No,Services,ATM Hard to Find,,,,,
7/16/2024 11:25,kurang kemudahan mencari ATM,Negative,No,Services,ATM Hard to Find,,,,,
7/16/2024 11:25,kurang kemudahan mencari ATM,Negative,No,Services,ATM Hard to Find,,,,,
7/16/2024 11:26,kurang kemudahan mencari ATM,Negative,No,Services,ATM Hard to Find,,,,,
7/16/2024 11:28,kalo mau ambil uang tdk tersedia banyak Mesin ATM,Negative,No,Services,ATM Hard to Find,,,,,
7/16/2024 11:29,"aplikasinya lemot, penghapusan notifikasi harus satu-satu",Negative,Yes,Ease and Speed,Slow application,,,,,
7/16/2024 11:29,"kalo mau ambil uang tdk tersedia banyak Mesin ATM, buku tabungan tdk ada",Negative,No,Services,ATM Hard to Find,,,,,
7/16/2024 11:31,"kalo mau ambil uang tdk tersedia banyak Mesin ATM, buku tabungan tdk ada, kebihan bunga ringan, memberikan fasilitas kredit tanpa jaminan",Negative,No,Services,ATM Hard to Find,,,,,
7/16/2024 11:31,"kalo mau ambil uang tdk tersedia banyak Mesin ATM, buku tabungan tdk ada, kebihan bunga ringan, memberikan fasilitas kredit tanpa jaminan, customer puas, banyak program promo",Negative,No,Services,ATM Hard to Find,,,,,
7/16/2024 11:32,"kalo mau ambil uang tdk tersedia banyak Mesin ATM, buku tabungan tdk ada, kebihan bunga ringan, memberikan fasilitas kredit tanpa jaminan, customer puas, banyak program promo, memberikan banyak fasilitas, ada mobile banking mempermudah customer, lebih ditingkatkan",Negative,No,Services,ATM Hard to Find,,,,,
7/16/2024 11:50,ok,Positive,No,General,General Positive Feedback,,,,,
7/16/2024 13:49,"Setelah pembaruan terakhir, diperlukan banyak tindakan tambahan, seperti memilih mata uang untuk transfer ke kartu multivaluta. Mata uang default selalu bukan IDR yang mengganggu",Negative,Yes,UI/UX and Usability,Complex UI/UX,,,,,
7/16/2024 13:58,"statement isinya cuma transaksi, harusnya ada saldo",Negative,Yes,Features and Promotion,Missing Features,,,,,
7/16/2024 14:09,keluhan di kartu kredit harusnya call center bisa pakai media WA. Yang sekarang masih pakai pulsa,Negative,No,Services,Service Issues,,,,,
7/16/2024 14:14,most of the staff in my area is useless,Negative,No,Services,Service Issues,,,,,
7/16/2024 14:16,logics. UF design,Negative,Yes,UI/UX and Usability,UI/UX Design Issues,,,,,
7/16/2024 15:04,permudah pengajuan KTA,Negative,No,Services,Loan Issues,,,,,
7/16/2024 17:25,my money gets scammed from my account and the bank refuse to take responsibility or give me any feedback on my reports or do any investigation on the beneficiary who has a BRI account,Negative,Yes,Reliability,Fraud Issues,,,,,
7/17/2024 0:17,mantap,Positive,Yes,General,General Positive Feedback,,,,,
7/17/2024 0:25,BEBAS ANTAR BANK,Positive,Yes,Features and Promotion,General Positive Feedback,,,,,
7/17/2024 0:54,Good Application,Positive,Yes,General,General Positive Feedback,,,,,
7/17/2024 1:15,masih suka nyangkut,Negative,Yes,Reliability,Transaction Issues,,,,,
7/17/2024 5:07,mohon kurangi loading ketika menuju proses transaksi,Negative,Yes,Ease and Speed,Slow application,,,,,
7/17/2024 5:07,tidak setuju,Negative,No,General,General Negative Feedback,,,,,
7/17/2024 5:31,"loading terlalu lama, untuk masuk ke menu transfer harus melalui jenjang yang bertumpuk, jadi prosesnya juga lebih lama. Kalau bisa menu transfer langsung ke bank tujuan",Negative,Yes,UI/UX and Usability,Complex UI/UX,,,,,
7/17/2024 5:49,kenapa rekening koran yang sebelumnya dikirim sampai kerumah tapi belakangan ini sudah lama tidak dikirim lagi padahal biaya cukup besar,Negative,No,Services,Service Issues,,,,,
7/17/2024 5:49,kenapa rekening koran yang sebelumnya dikirim sampai kerumah tapi belakangan ini sudah lama tidak dikirim lagi padahal biaya cukup besar,Negative,No,Services,Service Issues,,,,,
7/17/2024 5:54,y,Neutral,No,General,No actionable theme,,,,,
7/17/2024 5:55,pelayanan terkait EDC perlu ditingkatkan. Saya sering mengalami kendala terkait pembayaran dengan EDC permata saat berbelanja,Negative,No,Services,EDC Payment Issues,,,,,
7/17/2024 6:25,great easy to use,Positive,Yes,General,General Positive Feedback,,,,,
7/17/2024 7:01,"beli token, beli pulsa, bayar PLN dulu free admin, kok sekarang ada biaya admin",Negative,Yes,Fees and Rates,High admin fees,,,,,
7/17/2024 7:01,mantap,Positive,Yes,General,General Positive Feedback,,,,,
7/17/2024 7:02,sangat bagus,Positive,Yes,General,General Positive Feedback,,,,,
7/17/2024 7:11,"too complicated, not user friendly",Negative,Yes,UI/UX and Usability,Application is not user friendly,,,,,
7/17/2024 7:12,permudah dalam pengurusan KTA,Negative,No,Services,Loan Issues,,,,,
7/17/2024 7:12,all good already,Positive,Yes,General,General Positive Feedback,,,,,
7/17/2024 7:16,lebih ditingkatkan lagi kualitas sistem,Negative,Yes,Reliability,System Stability Issues,,,,,
7/17/2024 7:17,berbelit-belit,Negative,Yes,UI/UX and Usability,Complex UI/UX,,,,,
7/17/2024 7:27,karena saya tidak pernah ada masalah terhadap perbankan,Positive,No,General,General Positive Feedback,,,,,
7/17/2024 7:28,excellent,Positive,Yes,General,General Positive Feedback,,,,,
7/17/2024 7:31,cashback and promo without limit of participants,Negative,Yes,Features and Promotion,Promotion Issues,,,,,
7/17/2024 7:32,aplikasi terlalu lemot,Negative,Yes,Ease and Speed,Slow application,,,,,
7/17/2024 7:33,"aplikasi nya berat, loading nya kelamaan, gak bisa sat-set terus tombol kembalinya juga harus menekan tombol di atas pojok kiri atas gak bisa dipisahkan ke tombol pada umumnya. Dan juga fitur transfer nya normal saldo gak ditampilkan.",Negative,Yes,UI/UX and Usability,Application is not user friendly,,,,,
7/17/2024 7:34,sering error,Negative,Yes,Reliability,Errors,,,,,
7/17/2024 7:42,gampang lag atau lambat dan keluar dengan sendirinya,Negative,Yes,Ease and Speed,Slow application,,,,,
7/17/2024 7:46,agak lama loading masuk aplikasinya,Negative,Yes,Ease and Speed,Slow application,,,,,
7/17/2024 7:50,"billing tagihan kartu kredit tidak update dan realtime, mengecewakan",Negative,Yes,Features and Promotion,Errors in Account Information,,,,,
7/17/2024 7:53,"permata itu the best banget pelayanannya, gak akan ke lain hati pokoknya, tapi kalau bisa aplikasi mobile banking lebih di fast responin dong. Makasih banyak ya",Positive,Yes,Services,Excellent Customer Service,,,,,
7/17/2024 7:58,kenapa yang tadinya dengan kartu warna merah tidak dikenakan biaya untuk transaksi tertentu sekarang dikenakan,Negative,No,Fees and Rates,High admin fees,,,,,
7/17/2024 8:05,puas,Positive,No,General,General Positive Feedback,,,,,
7/17/2024 8:05,sangat baik,Positive,No,General,General Positive Feedback,,,,,
7/17/2024 8:12,oke,Positive,Yes,General,General Positive Feedback,,,,,
7/17/2024 8:12,"penjualan valas antar rekening sendiri limitnya terlalu kecil. Saat pembelian bisa beli 1 juta yen, masa saat mau jual 1 juta yen tidak bisa",Negative,Yes,Features and Promotion,Transfer Limit Issues,,,,,
7/17/2024 8:14,excellent,Positive,Yes,General,General Positive Feedback,,,,,
7/17/2024 8:16,"masalah login, semua password yang diinput dinyatakan salah padahal sudah benar. Gangguan saat transfer, terlalu sering mengalami gangguan. Untuk kami yang melakukan transaksi secara online, disaat gangguan jadi merasa repot.",Negative,Yes,Reliability,Login issues,,,,,
7/17/2024 8:22,belum tersedia top up e-money,Negative,Yes,Features and Promotion,Missing Features,,,,,
7/17/2024 8:27,loading terlalu lama,Negative,Yes,Ease and Speed,Slow application,,,,,
7/17/2024 8:27,aplikasinya tidak user friendly,Negative,Yes,UI/UX and Usability,Application is not user friendly,,,,,
7/17/2024 8:33,loading koneksi seringkali agak lama dan proses untuk logout aplikasi lebih dipersimple tahapannya,Negative,Yes,Ease and Speed,Slow application,,,,,
7/17/2024 8:34,suka delay,Negative,Yes,Ease and Speed,Slow application,,,,,
7/17/2024 8:38,biaya admin yang gratis keseluruhan bank,Positive,Yes,Fees and Rates,General Positive Feedback,,,,,
7/17/2024 8:40,kemudahan pengguna,Positive,Yes,UI/UX and Usability,General Positive Feedback,,,,,
7/17/2024 8:49,"sering tiba-tiba tampilan saldo 0, buat orang jantungan saja",Negative,Yes,Reliability,Errors in Account Information,,,,,
7/17/2024 8:54,.............,Neutral,Yes,General,No actionable theme,,,,,
7/17/2024 8:55,luar biasa,Positive,Yes,General,General Positive Feedback,,,,,
7/17/2024 8:55,selalu tingkatkan pelayanan yang maksimal selalu berinovasi biar semakin memuaskan,Positive,Yes,Services,Excellent Customer Service,,,,,
7/17/2024 8:55,perbanyak lagi mesin ATM nya,Negative,No,Services,ATM Hard to Find,,,,,
7/17/2024 8:56,keren,Positive,Yes,General,General Positive Feedback,,,,,
7/17/2024 9:02,free transfer kemana aja,Positive,Yes,Fees and Rates,General Positive Feedback,,,,,
7/17/2024 9:04,admin transfer gratis,Positive,Yes,Fees and Rates,General Positive Feedback,,,,,
7/17/2024 9:07,"nomor rekening yang sudah tersimpan tidak ada namanya, jadi kalau mau transfer lagi susah ya",Negative,Yes,UI/UX and Usability,History Transaction Usability,,,,,
7/17/2024 9:16,tidak bisa transaksi pembayaran kai jam 00.00 sampai 00.30. Kenapa,Negative,Yes,Features and Promotion,Transfer Time Limitation,,,,,
7/17/2024 9:17,tidak bisa menyimpan nomor rekening tujuan,Negative,Yes,UI/UX and Usability,Missing Features,,,,,
7/17/2024 9:24,aplikasi agak begitu besar dan berat,Negative,Yes,Ease and Speed,Slow application,,,,,
7/17/2024 9:27,suka gak stabil aplikasinya,Negative,Yes,Reliability,System Stability Issues,,,,,
7/17/2024 9:28,siiippppp,Positive,Yes,General,General Positive Feedback,,,,,
7/17/2024 9:29,untuk nomor rekening favorite transfer bisa diedit hapus supaya tidak numpuk kalau sudah tidak dipakai,Negative,Yes,UI/UX and Usability,History Transaction Usability,,,,,
7/17/2024 9:30,sangat puas,Positive,Yes,General,General Positive Feedback,,,,,
7/17/2024 9:30,pengajuan KTA yang selalu ditolak walaupun payroll gaji sudah melalui bank permata selama bertahun-tahun,Negative,No,Services,Loan Rejection Issues,,,,,
7/17/2024 9:45,saldo mengendap terlalu besar,Negative,Yes,Fees and Rates,High admin fees,,,,,
7/17/2024 9:45,suka error lemot,Negative,Yes,Ease and Speed,Slow application,,,,,
7/17/2024 9:54,pasti,Positive,Yes,General,General Positive Feedback,,,,,
7/17/2024 9:56,bagus,Positive,Yes,General,General Positive Feedback,,,,,
7/17/2024 10:06,terlalu sering update aplikasi,Negative,Yes,Features and Promotion,Updates too common,,,,,
7/17/2024 10:07,nama orang lain yang masuk ke aplikasi,Negative,Yes,Reliability,Security Issues,,,,,
7/17/2024 10:07,semuanya lebih cepat,Positive,Yes,General,General Positive Feedback,,,,,
7/17/2024 10:08,baik,Positive,Yes,General,General Positive Feedback,,,,,
7/17/2024 10:14,biasa kadang cepat kadang lelet,Neutral,Yes,Ease and Speed,Slow application,,,,,
7/17/2024 10:15,please make it easier to show a bank transfer proof,Negative,Yes,Features and Promotion,Missing Features,,,,,
7/17/2024 10:17,"tidak user friendly, tms bukti transfer yang memanjang ke bawah, boros kertas jika kita mau print untuk disimpan",Negative,Yes,UI/UX and Usability,Complex UI/UX,,,,,
7/17/2024 10:20,gabisa login setelah buka rekening. harus buat user ID dan password lagi,Negative,Yes,Reliability,Login issues,,,,,
7/17/2024 10:20,kalau bisa biaya transaksi online digratiskan,Negative,Yes,Fees and Rates,High admin fees,,,,,
7/17/2024 10:22,semoga bank permata makin jaya,Positive,No,General,General Positive Feedback,,,,,
7/17/2024 10:25,belum ada di kota Bengkulu,Negative,No,Services,Service Availability Issues,,,,,
7/17/2024 10:26,"permudah KTA untuk payroll, dan nasabah setia, karena sudah mempunyai agunan gaji",Negative,No,Services,Loan Issues,,,,,
7/17/2024 10:35,excellent,Positive,No,General,General Positive Feedback,,,,,
7/17/2024 10:39,kadang error pak,Negative,Yes,Reliability,Errors,,,,,
7/17/2024 10:41,"unit ATM tarik tunai masih sedikit jumlahnya, tolong diperbanyak sampai ke daerah biar mudah tarik tunainya",Negative,No,Services,ATM Hard to Find,,,,,
7/17/2024 10:43,ok,Positive,Yes,General,General Positive Feedback,,,,,
7/17/2024 10:51,"would be great to make it easy to open an account with any type of visa, not just Kitas",Negative,No,Services,Account Access Issues,,,,,
7/17/2024 10:51,tingkatkan lagi kenyamanan nasabah,Positive,No,General,General Positive Feedback,,,,,
7/17/2024 10:56,baik,Positive,Yes,General,General Positive Feedback,,,,,
7/17/2024 11:03,keren,Positive,Yes,General,General Positive Feedback,,,,,
7/17/2024 11:04,kenapa permata mobile sering error dan sering update pada saat kita urgent,Negative,Yes,Reliability,Errors,,,,,
7/17/2024 11:12,"my payroll, need many improvements about speed, promotion, and fees",Negative,No,Fees and Rates,Payroll Service Issues,,,,,
7/17/2024 11:14,"ATMnya belum ada setor tunai jadi kendala kalau mau setor harus ke bank dan sangat jauh, tapi untuk administrasinya sangat memuaskan karena gratis transaksi saksi",Negative,No,Services,ATM Hard to Find,,,,,
7/17/2024 11:14,agak berat lemot,Negative,Yes,Ease and Speed,Slow application,,,,,
7/17/2024 11:24,bagus,Positive,Yes,General,General Positive Feedback,,,,,
7/17/2024 11:29,rekomendasi sekali ya luar biasa,Positive,Yes,General,General Positive Feedback,,,,,
7/17/2024 11:30,bagus sekali,Positive,Yes,General,General Positive Feedback,,,,,
7/17/2024 11:31,tolong agar sesi loadingnya tidak terlalu lama,Negative,Yes,Ease and Speed,Slow application,,,,,
7/17/2024 11:35,walaupun sering error tapi free transfer ke bank apapun,Neutral,Yes,Reliability,Errors,,,,,
7/17/2024 11:41,karena itu pribadi,Neutral,No,General,No actionable theme,,,,,
7/17/2024 11:43,enakan yang lama untuk transaksi,Negative,Yes,UI/UX and Usability,Complex UI/UX,,,,,
7/17/2024 11:44,pengajuan kartu kredit dan KTA selalu ditolak tanpa ada alasan yang jelas,Negative,No,Services,Loan Rejection Issues,,,,,
7/17/2024 11:45,ok,Positive,Yes,General,General Positive Feedback,,,,,
7/17/2024 11:47,mantap,Positive,Yes,General,General Positive Feedback,,,,,
7/17/2024 11:50,jangan sering-sering lemot,Negative,Yes,Ease and Speed,Slow application,,,,,
7/17/2024 11:55,"ACC KTA saya, untuk bayar bisa potong dari gaji saya",Negative,No,Services,Loan Issues,,,,,
7/17/2024 11:55,sudah bagus,Positive,Yes,General,General Positive Feedback,,,,,
7/17/2024 11:58,kurang cepat,Negative,Yes,Ease and Speed,Slow application,,,,,
7/17/2024 11:59,"aku berapa kali mengajukan KTA tidak pernah disetujui, sementara aku lancar bayarnya",Negative,No,Services,Loan Rejection Issues,,,,,
7/17/2024 11:59,makin jelek dan tidak praktis,Negative,Yes,UI/UX and Usability,Application is not user friendly,,,,,
7/17/2024 11:59,sometimes logged out when minimize the app,Negative,Yes,Reliability,Login issues,,,,,
7/17/2024 12:05,kadang QRIS-nya ngelag,Negative,Yes,Features and Promotion,QR Issues,,,,,
7/17/2024 12:06,best,Positive,Yes,General,General Positive Feedback,,,,,
7/17/2024 12:11,kecepatan pelayanan teller,Positive,No,Services,Excellent Customer Service,,,,,
7/17/2024 12:12,good,Positive,Yes,General,General Positive Feedback,,,,,
7/17/2024 12:13,kalo sedang di luar kota sering kali tidak bisa digunakan,Negative,Yes,Reliability,Network Issues,,,,,
7/17/2024 12:26,you are making too many changes and making the app more complicated,Negative,Yes,UI/UX and Usability,Complex UI/UX,,,,,
7/17/2024 12:26,gratis biaya transaksi,Positive,Yes,Fees and Rates,General Positive Feedback,,,,,
7/17/2024 12:34,bagus,Positive,Yes,General,General Positive Feedback,,,,,
7/17/2024 12:45,kurang satset,Negative,Yes,Ease and Speed,Slow application,,,,,
7/17/2024 12:46,nanti aja,Neutral,No,General,No actionable theme,,,,,
7/17/2024 12:46,oke,Positive,Yes,General,General Positive Feedback,,,,,
7/17/2024 12:47,bagus,Positive,Yes,General,General Positive Feedback,,,,,
7/17/2024 12:57,saldo kepotong tetapi tagihan tidak berubah,Negative,Yes,Reliability,Errors in Account Information,,,,,
7/17/2024 12:59,jaringan oke,Positive,No,General,General Positive Feedback,,,,,
7/17/2024 13:08,perbanyak mesin ATM,Negative,No,Services,ATM Hard to Find,,,,,
7/17/2024 13:23,done,Positive,No,General,General Positive Feedback,,,,,
7/17/2024 13:30,complicated,Negative,Yes,UI/UX and Usability,Complex UI/UX,,,,,
7/17/2024 13:40,good,Positive,Yes,General,General Positive Feedback,,,,,
7/17/2024 13:43,puas,Positive,Yes,General,General Positive Feedback,,,,,
7/17/2024 13:48,"tanpa biaya admin, sangat baik sekali",Positive,Yes,Fees and Rates,General Positive Feedback,,,,,
7/17/2024 13:52,selalu gagal mengajukan KTA pinjaman tanpa agunan. KTA kasbon gagal terus,Negative,No,Services,Loan Rejection Issues,,,,,
7/17/2024 13:55,"mobile X masih lemot dari 2022 sampai sekarang, padahal saya sudah update dan ganti hp. Sudah lapor ke KCU terdekat namun tidak ada solusi, mungkin bisa ditindaklanjuti agar layanan konsumen semakin baik. Terima kasih",Negative,Yes,Ease and Speed,Slow application,,,,,
7/17/2024 13:56,Friendly and quite...,Positive,No,General,General Positive Feedback,,,,,
7/17/2024 13:59,aman nyaman,Positive,No,General,General Positive Feedback,,,,,
7/17/2024 14:05,kurang cepat,Negative,Yes,Ease and Speed,Slow Application,,,,,
7/17/2024 14:08,CS gratis,Positive,No,Services,Free Customer Service,,,,,
7/17/2024 14:10,setiap pengajuan kta permata... selalu ditolak,Negative,No,Services,Loan Application Rejected,,,,,
7/17/2024 14:12,apk mobile nya lelet,Negative,Yes,Ease and Speed,Slow Application,,,,,
7/17/2024 14:15,gratis biaya admin ke semua bank cuma suka keluar sebelum selesai,Negative,Yes,Fees and Rates,"Failed Transactions, Free Admin Fee",,,,,
