Date,Feedback,Sentiment,Key Theme
2024-07-14,ada fitur qris kartu kredit,Negative,Features and Promotion
2024-07-14,transfer gagal mulu,Negative,Reliability
2024-07-14,kalau ubah biometrik registrasi ulang mobile banking awal bener bener repot aplikasi bank jika ubah biometrik cukup aktif ulang sidik jari registrasi ulang mobile banking,Negative,UI/UX and Usability
2024-07-14,bentuk aplikasi kurang tarik praktis,Negative,UI/UX and Usability
2024-07-15,transfer bawah hapus padahal keliru satu unggul permata banding bank,Negative,Fees and Rates
2024-07-15,antri lama banget di bank harap cepat layan,Negative,Services
2024-07-15,w kuasa gaji,Neutral,Features and Promotion
2024-07-15,alami banyak kendala login mobile perban permata sistem muncul pesan kata permata x sedang alami kendala teknis kami coba nanti sangat sebal saya bayar qris depan sewa,Negative,Reliability
2024-07-15,ga tau sekarang aplikasi lambat banget padahal jaring bagus stabil mohon baik,Negative,Ease and Speed
2024-07-15,layan bagus nyaman tahan,Positive,Services
2024-07-15,sering error kalau qris bisa langsung nyantol sering konek kalau bca selalu oke,Negative,Reliability
2024-07-15,pernah d acc pinjam kta padahal gaji lewat permata bayar kta lancar malah habis bayar sampe sekarang tahun pernah acc pinjam,Negative,Services
2024-07-15,data invest bond tidak akurat data detail,Negative,Features and Promotion
2024-07-15,login email transaksi sangat mengangu,Negative,Features and Promotion
2024-07-15,riwayat transaksi bagus dulu periode pilih default jadi hemat langkah kalo ha lihat transaksi riwayat bulan ini nomor rekening baik serta nama jadi lebih bantu kirim orang sama,Negative,Features and Promotion
2024-07-15,kartu kredit tolak terus apaapaan neeh,Negative,Services
2024-07-16,bisa rekomendasi kalau setor giro bisa titip hari kalau lebih kena biaya wajib sering datang permata di pekanbaru bank permata ha dan jauh tempat tinggal belum macet,Negative,Services
2024-07-16,banyak promo tampil tak pernah tuju dana kta jadi benar produk tampil ha promo,Negative,Features and Promotion
2024-07-16,aman sangat kurang,Negative,Reliability
2024-07-16,pertama deposito aktif kartu kredit fungsi semua permata poin reward isi bbm belum hasil,Negative,Features and Promotion
2024-07-16,face recognition sering ga kedetect padahal udah jelas kalo keliru kali langsung auto logout login ribet sakit banget sih,Negative,UI/UX and Usability
2024-07-16,mohon ada kendala bifast kasih pemberitahuan lebih jadi yang transfer takut pending,Negative,Features and Promotion
2024-07-16,sulit top up pinjam pribadi,Negative,Features and Promotion
